from,to,time,source1,source2
MV,RB,2023,1,https://de.motorsport.com/f1/drivers/
LoS,W,2023,1,https://de.motorsport.com/f1/drivers/
LN,ML,2023,1,https://de.motorsport.com/f1/drivers/
PG,A,2023,1,https://de.motorsport.com/f1/drivers/
SP,RB,2023,1,https://de.motorsport.com/f1/drivers/
FA,AM,2023,1,https://de.motorsport.com/f1/drivers/
CL,F,2023,1,https://de.motorsport.com/f1/drivers/
LaS,AM,2023,1,https://de.motorsport.com/f1/drivers/
KM,H,2023,1,https://de.motorsport.com/f1/drivers/
NdV,AT,2023,1,https://de.motorsport.com/f1/drivers/
YT,A,2023,1,https://de.motorsport.com/f1/drivers/
AA,W,2023,1,https://de.motorsport.com/f1/drivers/
GZ,AR,2023,1,https://de.motorsport.com/f1/drivers/
NH,H,2023,1,https://de.motorsport.com/f1/drivers/
EO,A,2023,1,https://de.motorsport.com/f1/drivers/
LH,M,2023,1,https://de.motorsport.com/f1/drivers/
CS,F,2023,1,https://de.motorsport.com/f1/drivers/
GR,M,2023,1,https://de.motorsport.com/f1/drivers/
VB,AR,2023,1,https://de.motorsport.com/f1/drivers/
OP,ML,2023,1,https://de.motorsport.com/f1/drivers/
